
 The run is 10000 proton of 69 MeV through 20 m   of Cu63 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	28.4858 cm  +- 28.1737 cm 	massic: 127.389 g/cm2 
 CrossSection:	0.0351052 cm^-1 		massic: 785 um2/mg
 crossSection per atom:	820.302 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 789.496 um2/mg	825 mbarn 
               total= 789.496 um2/mg	825 mbarn 

 List of nuclear reactions: 

           Fe56:     268  Emean = 2.00727 MeV	( 98.3137 keV --> 6.89361 MeV)
           Fe57:     117  Emean = 1.85532 MeV	( 70.5981 keV --> 6.15584 MeV)
           Fe58:      17  Emean = 1.72974 MeV	( 145.131 keV --> 3.82162 MeV)
            He3:     162  Emean = 20.5344 MeV	( 6.9097 MeV --> 51.6832 MeV)
            Li6:      13  Emean =  9.4339 MeV	( 5.89894 MeV --> 16.8246 MeV)
            Li7:       9  Emean = 10.1314 MeV	( 7.40299 MeV --> 13.6428 MeV)
            Li8:       1  Emean = 14.8815 MeV	( 14.8815 MeV --> 14.8815 MeV)
           Mn51:       1  Emean = 411.737 keV	( 411.737 keV --> 411.737 keV)
           Mn52:       2  Emean = 2.98467 MeV	( 2.66333 MeV --> 3.30602 MeV)
  Mn52[377.749]:       3  Emean = 1.36208 MeV	( 700.033 keV --> 2.41766 MeV)
           Mn53:     119  Emean = 2.36655 MeV	( 23.062 keV --> 5.55804 MeV)
           Mn54:     117  Emean = 2.55658 MeV	( 156.487 keV --> 7.98019 MeV)
           Mn55:      10  Emean = 2.77659 MeV	( 519.224 keV --> 5.55752 MeV)
           Mn56:       5  Emean = 2.47325 MeV	( 404.34 keV --> 5.14673 MeV)
           Ni56:       6  Emean = 1.67711 MeV	( 337.268 keV --> 4.16905 MeV)
           Ni57:     127  Emean = 2.00071 MeV	( 10.4815 keV --> 6.18506 MeV)
           Ni58:     359  Emean = 1.56585 MeV	( 51.4547 keV --> 6.42406 MeV)
           Ni59:     955  Emean = 1.48626 MeV	( 3.64593 keV --> 6.1826 MeV)
           Ni60:    1402  Emean =  1.3298 MeV	( 5.36119 keV --> 5.34312 MeV)
           Ni61:     750  Emean = 1.15248 MeV	( 6.51123 keV --> 5.34923 MeV)
           Ni62:     257  Emean = 1.16999 MeV	( 18.3496 keV --> 4.69765 MeV)
  Ni62[115.438]:       1  Emean = 2.09288 MeV	( 2.09288 MeV --> 2.09288 MeV)
  Ni62[139.214]:       1  Emean = 1.34201 MeV	( 1.34201 MeV --> 1.34201 MeV)
  Ni62[166.335]:       1  Emean =  1.7939 MeV	( 1.7939 MeV --> 1.7939 MeV)
   Ni62[19.457]:       1  Emean = 2.42382 MeV	( 2.42382 MeV --> 2.42382 MeV)
  Ni62[254.201]:       1  Emean = 1.58383 MeV	( 1.58383 MeV --> 1.58383 MeV)
  Ni62[265.033]:       1  Emean = 2.18288 MeV	( 2.18288 MeV --> 2.18288 MeV)
  Ni62[382.884]:       1  Emean = 1.79759 MeV	( 1.79759 MeV --> 1.79759 MeV)
  Ni62[418.950]:       1  Emean = 2.36901 MeV	( 2.36901 MeV --> 2.36901 MeV)
  Ni62[431.936]:       1  Emean = 1.57471 MeV	( 1.57471 MeV --> 1.57471 MeV)
  Ni62[524.768]:       1  Emean =  327.96 keV	( 327.96 keV --> 327.96 keV)
  Ni62[534.040]:       1  Emean = 1.87238 MeV	( 1.87238 MeV --> 1.87238 MeV)
  Ni62[538.485]:       1  Emean = 3.46643 MeV	( 3.46643 MeV --> 3.46643 MeV)
  Ni62[539.316]:       1  Emean = 1.74111 MeV	( 1.74111 MeV --> 1.74111 MeV)
  Ni62[567.575]:       1  Emean = 1.04387 MeV	( 1.04387 MeV --> 1.04387 MeV)
  Ni62[579.681]:       1  Emean = 32.2814 keV	( 32.2814 keV --> 32.2814 keV)
            O17:       1  Emean =  15.892 MeV	( 15.892 MeV --> 15.892 MeV)
           Ti45:       1  Emean = 5.70486 MeV	( 5.70486 MeV --> 5.70486 MeV)
