
 The run is 10000 proton of 69 MeV through 20 m   of C12 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	16.8789 cm  +- 16.694 cm 	massic: 75.4825 g/cm2 
 CrossSection:	0.0592455 cm^-1 		massic: 1.32481 mm2/g 
 crossSection per atom:	263.988 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 1.3324 mm2/g 	265.5 mbarn 
               total= 1.3324 mm2/g 	265.5 mbarn 

 List of nuclear reactions: 

                 proton + C12 --> neutron + Li6 + Be6[722.632]:       1   Q = -33.9664 MeV
                 proton + C12 --> neutron + Li6 + Be6[725.702]:       1   Q = -33.9695 MeV
                 proton + C12 --> neutron + Li6 + Be6[734.013]:       1   Q = -33.9778 MeV
                 proton + C12 --> neutron + Li6 + Be6[747.045]:       1   Q = -33.9909 MeV
                 proton + C12 --> neutron + Li6 + Be6[779.543]:       1   Q = -34.0234 MeV
                                proton + C12 --> neutron + N12:       6   Q = -18.1209 MeV
                       proton + C12 --> neutron + N12[357.216]:       1   Q = -18.4781 MeV
                proton + C12 --> neutron + alpha + B8[342.820]:       1   Q = -26.4713 MeV
           proton + C12 --> neutron + alpha + deuteron + 2 He3:       1   Q = -46.204 MeV
               proton + C12 --> neutron + deuteron + He3 + Be7:       1   Q = -44.6176 MeV
                               proton + C12 --> proton + 2 Li6:       3   Q = -28.1731 MeV
                proton + C12 --> proton + 2 alpha + 2 deuteron:     260   Q = -31.1206 MeV
                     proton + C12 --> proton + 2 neutron + C10:       5   Q = -31.8414 MeV
           proton + C12 --> proton + 2 neutron + C10[1170.919]:       1   Q = -33.0123 MeV
           proton + C12 --> proton + 2 neutron + C10[1477.159]:       1   Q = -33.3186 MeV
            proton + C12 --> proton + 2 neutron + C10[222.259]:       1   Q = -32.0637 MeV
            proton + C12 --> proton + 2 neutron + C10[311.269]:       1   Q = -32.1527 MeV
            proton + C12 --> proton + 2 neutron + C10[364.758]:       1   Q = -32.2062 MeV
            proton + C12 --> proton + 2 neutron + C10[439.367]:       1   Q = -32.2808 MeV
            proton + C12 --> proton + 2 neutron + C10[512.182]:       1   Q = -32.3536 MeV
            proton + C12 --> proton + 2 neutron + C10[559.257]:       1   Q = -32.4007 MeV
             proton + C12 --> proton + 2 neutron + C10[56.425]:       1   Q = -31.8978 MeV
            proton + C12 --> proton + 2 neutron + C10[689.490]:       1   Q = -32.5309 MeV
            proton + C12 --> proton + 2 neutron + C10[777.496]:       1   Q = -32.6189 MeV
            proton + C12 --> proton + 2 neutron + C10[784.693]:       1   Q = -32.6261 MeV
            proton + C12 --> proton + 2 neutron + C10[995.178]:       1   Q = -32.8366 MeV
               proton + C12 --> proton + 2 neutron + He3 + Be7:       4   Q = -46.8419 MeV
                             proton + C12 --> proton + 3 alpha:    2122   Q = -7.27361 MeV
                                 proton + C12 --> proton + C12:       9   Q = 1.01055e-07 eV 
                       proton + C12 --> proton + C12[1003.237]:       1   Q = -1.00324 MeV
                       proton + C12 --> proton + C12[1153.044]:       1   Q = -1.15304 MeV
                       proton + C12 --> proton + C12[1159.149]:       1   Q = -1.15915 MeV
                       proton + C12 --> proton + C12[1171.610]:       1   Q = -1.17161 MeV
                       proton + C12 --> proton + C12[1211.787]:       1   Q = -1.21179 MeV
                       proton + C12 --> proton + C12[1217.478]:       1   Q = -1.21748 MeV
                       proton + C12 --> proton + C12[1378.335]:       1   Q = -1.37833 MeV
                       proton + C12 --> proton + C12[1443.748]:       1   Q = -1.44375 MeV
                       proton + C12 --> proton + C12[1499.976]:       1   Q = -1.49998 MeV
                       proton + C12 --> proton + C12[1617.422]:       1   Q = -1.61742 MeV
                       proton + C12 --> proton + C12[1673.137]:       1   Q = -1.67314 MeV
                       proton + C12 --> proton + C12[1735.871]:       1   Q = -1.73587 MeV
                       proton + C12 --> proton + C12[1753.303]:       1   Q = -1.7533 MeV
                       proton + C12 --> proton + C12[1960.714]:       1   Q = -1.96071 MeV
                       proton + C12 --> proton + C12[1987.896]:       1   Q = -1.9879 MeV
                       proton + C12 --> proton + C12[2014.233]:       1   Q = -2.01423 MeV
                       proton + C12 --> proton + C12[2019.887]:       1   Q = -2.01989 MeV
                       proton + C12 --> proton + C12[2046.955]:       1   Q = -2.04695 MeV
                       proton + C12 --> proton + C12[2084.494]:       1   Q = -2.08449 MeV
                       proton + C12 --> proton + C12[2094.973]:       1   Q = -2.09497 MeV
                       proton + C12 --> proton + C12[2120.555]:       1   Q = -2.12055 MeV
                        proton + C12 --> proton + C12[336.715]:       1   Q = -336.715 keV
                        proton + C12 --> proton + C12[444.042]:       1   Q = -444.042 keV
                         proton + C12 --> proton + C12[53.344]:       1   Q = -53.344 keV
                        proton + C12 --> proton + C12[870.202]:       1   Q = -870.202 keV
                        proton + C12 --> proton + C12[871.680]:       1   Q = -871.68 keV
              proton + C12 --> proton + alpha + deuteron + Li6:     159   Q = -29.6469 MeV
     proton + C12 --> proton + alpha + deuteron + Li6[134.042]:       1   Q = -29.7809 MeV
     proton + C12 --> proton + alpha + deuteron + Li6[457.931]:       1   Q = -30.1048 MeV
     proton + C12 --> proton + alpha + deuteron + Li6[486.161]:       1   Q = -30.133 MeV
     proton + C12 --> proton + alpha + deuteron + Li6[626.499]:       1   Q = -30.2734 MeV
     proton + C12 --> proton + alpha + deuteron + Li6[655.991]:       1   Q = -30.3029 MeV
     proton + C12 --> proton + alpha + deuteron + Li6[666.352]:       1   Q = -30.3132 MeV
     proton + C12 --> proton + alpha + deuteron + Li6[694.711]:       1   Q = -30.3416 MeV
     proton + C12 --> proton + alpha + deuteron + triton + He3:       2   Q = -45.4406 MeV
                      proton + C12 --> proton + deuteron + B10:       1   Q = -25.1863 MeV
